DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.3523809523809524,0.6727272727272727,0.7478549540347293,0.34798007747648046,37.0,68.0,288.0,18.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.7391304347826086,0.3090909090909091,0.7826098059244126,0.387564345705771,17.0,6.0,350.0,38.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.41818181818181815,0.41818181818181815,0.7409856996935649,0.32829417773238,23.0,32.0,324.0,32.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.3523809523809524,0.6727272727272727,0.7478549540347293,0.34798007747648046,37.0,68.0,288.0,18.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,NONE,NONE,0.6153846153846154,0.2909090909090909,0.7713227783452502,0.3382077486773357,16.0,10.0,346.0,39.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.31746031746031744,0.36363636363636365,0.719050051072523,0.22878175519630473,20.0,43.0,313.0,35.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.34285714285714286,0.6545454545454545,0.773314606741573,0.3328168234643056,36.0,69.0,287.0,19.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.3448275862068966,0.25,0.7674222797927461,0.229001994533501,10.0,19.0,367.0,30.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.28846153846153844,0.375,0.7260038860103627,0.24606074446220588,15.0,37.0,349.0,25.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.24752475247524752,0.625,0.7810880829015544,0.25429923440926405,25.0,76.0,310.0,15.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.3448275862068966,0.25,0.7674222797927461,0.229001994533501,10.0,19.0,367.0,30.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.28846153846153844,0.375,0.7260038860103627,0.24606074446220588,15.0,37.0,349.0,25.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.24752475247524752,0.625,0.7810880829015544,0.25429923440926405,25.0,76.0,310.0,15.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,NONE,NONE,0.36666666666666664,0.275,0.7635038860103627,0.25426695842450797,11.0,19.0,367.0,29.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.32142857142857145,0.45,0.726878238341969,0.2981107205623899,18.0,38.0,348.0,22.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.27835051546391754,0.675,0.7900259067357513,0.301252914904549,27.0,70.0,316.0,13.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,NONE,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,NaN,0.0,0.3363433943592281,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,NONE,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NONE,NaN,0.0,0.3363433943592281,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,UNDERSAMPLING,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,NONE,NONE,NONE,0.06557377049180328,0.046511627906976744,0.19181923140359558,-0.37924553044542564,4.0,57.0,84.0,82.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,NONE,OVERSAMPLING,NONE,NaN,0.0,0.27041068777832755,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,NONE,UNDERSAMPLING,NONE,0.06557377049180328,0.046511627906976744,0.19181923140359558,-0.37924553044542564,4.0,57.0,84.0,82.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.47058823529411764,0.4,0.7154050464807437,0.31012992500264075,24.0,27.0,224.0,36.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.4126984126984127,0.43333333333333335,0.7234395750332006,0.2805851497084024,26.0,37.0,214.0,34.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.46551724137931033,0.45,0.7586321381142098,0.3306880086085141,27.0,31.0,220.0,33.0
