VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,254,236,63.5,8,4,2.0,246,236,61.5,0,4,3,True
0,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,60,61,59,30.5,1,1,0.5,60,59,30.0,0,2,2,False
0,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,114,115,115,115.0,0,0,0.0,115,115,115.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/server/persistence/Util.java,305,337,336,112.33333333333333,32,31,10.666666666666666,367,336,122.33333333333333,0,3,3,True
0,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,45,54,43,18.0,9,6,3.0,45,43,15.0,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,898,1850,908,231.25,952,908,119.0,922,906,115.25,0,8,3,False
0,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,189,393,177,56.142857142857146,204,177,29.142857142857142,197,175,28.142857142857142,0,7,4,True
0,src/java/main/org/apache/zookeeper/server/quorum/Election.java,26,29,18,7.25,3,2,0.75,26,18,6.5,0,4,2,False
0,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,626,771,501,70.0909090909091,145,82,13.181818181818182,668,501,60.72727272727273,0,11,4,True
0,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,378,786,369,87.33333333333333,408,369,45.333333333333336,378,366,42.0,0,9,3,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,395,824,391,91.55555555555556,429,391,47.666666666666664,397,389,44.111111111111114,0,9,4,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,107,119,96,17.0,12,6,1.7142857142857142,107,96,15.285714285714286,0,7,4,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,85,94,83,31.333333333333332,9,6,3.0,85,83,28.333333333333332,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,34,34,18,17.0,0,0,0.0,34,18,17.0,0,2,2,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,177,209,168,23.22222222222222,32,9,3.5555555555555554,185,168,20.555555555555557,0,9,4,False
0,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,633,735,587,81.66666666666667,102,50,11.333333333333334,637,587,70.77777777777777,0,9,4,False
0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,194,215,178,30.714285714285715,21,6,3.0,194,178,27.714285714285715,0,7,3,False
0,src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,88,106,83,17.666666666666668,18,6,3.0,88,83,14.666666666666666,0,6,3,False
0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,76,102,73,20.4,26,10,5.2,90,73,18.0,0,5,3,False
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,564,768,623,128.0,204,194,34.0,694,623,115.66666666666667,0,6,3,True
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,590,1511,573,107.92857142857143,921,573,65.78571428571429,768,571,54.857142857142854,0,14,4,True
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,230,470,210,58.75,240,210,30.0,232,208,29.0,0,8,2,False
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,110,117,112,39.0,7,6,2.3333333333333335,114,112,38.0,0,3,2,False
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,81,115,76,23.0,34,17,6.8,81,76,16.2,0,5,2,False
0,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,54,64,52,21.333333333333332,10,6,3.3333333333333335,54,52,18.0,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,69,77,45,15.4,8,6,1.6,69,45,13.8,0,5,2,False
0,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,129,129,129,129.0,0,0,0.0,129,129,129.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,582,582,582,582.0,0,0,0.0,582,582,582.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,181,181,181,181.0,0,0,0.0,181,181,181.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,33,33,33,33.0,0,0,0.0,33,33,33.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,323,323,323,323.0,0,0,0.0,323,323,323.0,0,1,1,True
0,src/java/main/org/apache/zookeeper/server/util/Profiler.java,40,87,40,21.75,47,40,11.75,40,38,10.0,0,4,1,False
0,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,105,105,105,105.0,0,0,0.0,105,105,105.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/version/util/VerGen.java,120,167,109,27.833333333333332,47,17,7.833333333333333,120,109,20.0,0,6,2,True
1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
