DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.2972972972972973,0.3142857142857143,0.6917874396135266,0.18430632331131203,11.0,26.0,181.0,24.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.21686746987951808,0.5142857142857142,0.6001380262249828,0.12758287171370808,18.0,65.0,142.0,17.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.23076923076923078,0.5142857142857142,0.6506556245686681,0.1485881385360502,18.0,60.0,147.0,17.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.23214285714285715,0.37142857142857144,0.5818495514147688,0.13103524472433972,13.0,43.0,164.0,22.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.2682926829268293,0.3142857142857143,0.7228433402346446,0.15809818322381128,11.0,30.0,177.0,24.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.2553191489361702,0.34285714285714286,0.5868875086266391,0.15210825178204665,12.0,35.0,172.0,23.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.2972972972972973,0.3142857142857143,0.6917874396135266,0.18430632331131203,11.0,26.0,181.0,24.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.21686746987951808,0.5142857142857142,0.6001380262249828,0.12758287171370808,18.0,65.0,142.0,17.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.23076923076923078,0.5142857142857142,0.6506556245686681,0.1485881385360502,18.0,60.0,147.0,17.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.20430107526881722,0.4222222222222222,0.6086180363188674,0.148096856771161,19.0,74.0,287.0,26.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.24675324675324675,0.4222222222222222,0.7463527239150508,0.19947420308905703,19.0,58.0,303.0,26.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.18518518518518517,0.3333333333333333,0.5752539242843951,0.11147585829571872,15.0,66.0,295.0,30.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.19444444444444445,0.3111111111111111,0.6296398891966759,0.1191555750572862,14.0,58.0,303.0,31.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.16025641025641027,0.5555555555555556,0.5963373345644813,0.09265014948346782,25.0,131.0,230.0,20.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.16778523489932887,0.5555555555555556,0.6176054170514005,0.10542583468494648,25.0,124.0,237.0,20.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.20430107526881722,0.4222222222222222,0.6086180363188674,0.148096856771161,19.0,74.0,287.0,26.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.24675324675324675,0.4222222222222222,0.7463527239150508,0.19947420308905703,19.0,58.0,303.0,26.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.18518518518518517,0.3333333333333333,0.5752539242843951,0.11147585829571872,15.0,66.0,295.0,30.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.19444444444444445,0.3111111111111111,0.6296398891966759,0.1191555750572862,14.0,58.0,303.0,31.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.16025641025641027,0.5555555555555556,0.5963373345644813,0.09265014948346782,25.0,131.0,230.0,20.0
ZOOKEEPER,9,80.8761186999529,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.16778523489932887,0.5555555555555556,0.6176054170514005,0.10542583468494648,25.0,124.0,237.0,20.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.09090909090909091,0.13333333333333333,0.48424908424908425,-0.0261537291872573,6.0,60.0,304.0,39.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.1111111111111111,0.1111111111111111,0.6807997557997558,0.0012210012210009233,5.0,40.0,324.0,40.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.19672131147540983,0.26666666666666666,0.566025641025641,0.11425100359180214,12.0,49.0,315.0,33.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.28205128205128205,0.24444444444444444,0.6812271062271062,0.17791609933216626,11.0,28.0,336.0,34.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.18072289156626506,0.6666666666666666,0.6465201465201466,0.13453103322636245,30.0,136.0,228.0,15.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.19424460431654678,0.6,0.6851648351648352,0.1526153061549739,27.0,112.0,252.0,18.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.09090909090909091,0.13333333333333333,0.48424908424908425,-0.0261537291872573,6.0,60.0,304.0,39.0
ZOOKEEPER,10,83.84676145339652,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.1111111111111111,0.1111111111111111,0.6807997557997558,0.0012210012210009233,5.0,40.0,324.0,40.0
